genename	F_stat
MAP7D3	-6.90981262543602
SLC38A7	-6.90502217709464
CDKN1C	-6.90260064327341
CAMK2B	-6.89470831309732
PTPRG	-6.88641739326847
ENPP2	-6.88559349051206
PRELP	-6.87594969572724
ARHGEF11	-6.87561962692237
MYO10	-6.87518282244768
ARL6IP5	-6.87160832035799
PIK3R1	-6.86464548523258
ABHD17C	-6.84842369170795
BDH1	-6.84027605195042
BRI3	-6.83959837407184
RRP12	-6.8328836943839
PKIG	-6.83232608313579
SLC20A2	-6.81109317063156
NEBL	-6.80732207664497
NT5DC1	-6.80127988021289
CEACAM19	-6.79198717643251
SUCNR1	-6.79179410952968
GCNT3	-6.78656494077844
IFFO1	-6.78571747386678
GLMP	-6.77406331669739
CD244	-6.77167058662301
MANSC1	-6.75174548544646
PEG10	-6.74702844274714
PDE7B	-6.74269828148576
SMIM10	-6.74165940348498
ADAMTS15	-6.74093420873741
ENPP1	-6.72208516475398
B3GAT3	-6.71077713959981
ATP10D	-6.69409421684708
JAG1	-6.69008258657653
B3GALT1	-6.68806123099413
XYLT1	-6.68680663965861
DUSP1	-6.68297247826823
OSBPL1A	-6.682811965785
TP53I11	-6.6827679417839
ANK2	-6.67955237179451
COMMD7	-6.67926897839695
PTPRA	-6.67869935544051
LGALS3	-6.67625201519546
ACSS1	-6.67393160872377
PEPD	-6.6626334800717
NA	-6.6530346522528
EPHX1	-6.64874435311097
KCTD10	-6.64760866114224
MEF2C	-6.64687259563382
TMBIM1	-6.639012412816
RAB11FIP4	-6.63524705413109
PPIF	-6.63337070899648
VCL	-6.63106407220591
C7	-6.62728156621194
CYP2U1	-6.62649191046956
MARCKSL1	-6.62556579960672
VWA5A	-6.61034963919365
CHRDL1	-6.60844134878829
UAP1L1	-6.60200603691426
CAMK2D	-6.6009675180025
LINC00680	-6.5951710981375
NOL6	-6.58988803099251
FDFT1	-6.58584657697658
NA	-6.5853019396484
TEX2	-6.57673991288975
PLEKHG4	-6.57276386137588
CYP4X1	-6.56582324440975
SH2D4A	-6.55527747708925
PPARGC1B	-6.5462310738779
CLEC2B	-6.54458166767482
RAPGEF1	-6.53931400433959
SFRP1	-6.53644056220534
ATP2B4	-6.53629686843499
GALNT15	-6.50756782860062
SAT2	-6.5040128896493
CLCN6	-6.48995017554245
ANO4	-6.4793878375055
HMGCR	-6.47112221804813
DTX3L	-6.46992763576091
RENBP	-6.46889017574658
ROR1	-6.46875530921358
PCED1A	-6.46142260184329
FMN1	-6.45850796970035
AMPH	-6.45068374012526
RSAD1	-6.44566951167972
LARP4	-6.43541571672109
SLC41A3	-6.43462661519082
SERPINB9	-6.4330790212327
DHX35	-6.42485831839878
ARHGAP21	-6.4217923597026
KCND2	-6.41603287622457
SNED1	-6.41402242044186
HECTD1	-6.41184623965183
PLEKHM1	-6.39998991549878
CARD6	-6.38445929247885
SLC43A1	-6.38234147744426
MLPH	-6.3771398119585
PSPC1	-6.37239631690536
PPRC1	-6.36590736257067
LYST	-6.35761305348161
OVCH1	-6.35320404815131
TOR3A	-6.3488745400674
PLXNA4	-6.34200763823138
DOCK10	-6.33640487862571
TSC1	-6.33608617435487
IRS1	-6.33547509453262
RAB33A	-6.33361380478928
DEPP1	-6.33026371002534
ADCY6	-6.32923712723499
SNHG3	-6.32662969406813
DISC1	-6.3247891796795
ANGPTL4	-6.31772327716293
DANCR	-6.31339301470462
GCNT1	-6.3059509792906
SOS1	-6.30023711142528
ANAPC7	-6.30007985936471
DLG5	-6.29314935739952
ANKIB1	-6.29105753087571
RAB29	-6.28838828021428
GPATCH4	-6.28280168715464
GYG1	-6.27633881629772
LDLRAP1	-6.27563841127595
ATP6V0A1	-6.27413302320376
LPCAT1	-6.27409676651976
ITPA	-6.2723881696289
PELATON	-6.27024329727675
NEK6	-6.26851024759524
STX3	-6.25733438877419
PFKM	-6.2569990849162
TMEM127	-6.25342208318054
AHNAK2	-6.25202766557287
MTMR10	-6.24914708458732
LYPLAL1-AS1	-6.23876099513792
TMEM140	-6.23765304880801
SNTB1	-6.22460979504799
CISH	-6.21881818312144
FLT1	-6.20561474010266
UNC13A	-6.19848376137639
LRRC8C	-6.18999273151692
MYD88	-6.17672586100815
TIMP2	-6.17394491006961
HMCN1	-6.16476640348573
SNX1	-6.16176933646199
TMEM104	-6.15910818135116
NID2	-6.15892481560874
CD36	-6.15784110465188
PTK2B	-6.15449406196889
KRT18	-6.15298868146878
SDCBP	-6.15159131698171
WASHC2C	-6.14862522548008
PPP1R7	-6.14600130199109
IDI1	-6.1455640132231
ABAT	-6.1452020565979
CYTH3	-6.14455429943137
NOP2	-6.1379640963671
MYO1D	-6.13539739378151
CCDC74A	-6.13065086889309
NA	-6.12321613908784
ACAT1	-6.12077249998431
LSG1	-6.12056620295648
VAC14	-6.11652344685638
PDGFD	-6.11554901927968
EIF4EBP2	-6.11409221102043
PI4KA	-6.11223729838353
SEMA5A	-6.11047838501786
CYBRD1	-6.10601083219347
RCBTB1	-6.10550499998309
PCDHGB7	-6.10425323093037
NCDN	-6.09016875300361
EPHA5	-6.08837736413127
ADI1	-6.087858151421
NA	-6.07751461757589
TBC1D16	-6.07677670044215
MAP3K20	-6.06854821494356
ADCY3	-6.06318111852772
PFKFB2	-6.04621215912733
PLEKHM2	-6.02666051767729
MEF2A	-6.02556665876494
PEBP1	-6.02058342881342
ITPKB	-6.01568067556812
CHDH	-6.01414689281243
MTCL1	-6.01100790401898
C4A	-6.01041930063288
RPL10P13	-6.00664569012893
FNBP1	-6.00541413477405
ACAD10	-6.00163613940161
TPP1	-5.99616570025971
MVK	-5.99005029418527
LINC01936	-5.9870103786764
IGF2R	-5.98083700989757
SZRD1	-5.98003411043225
RESF1	-5.97450192946756
CNDP2	-5.97246809428775
SLC9A3R1	-5.96244566265825
IL1R1	-5.95972336782607
SPRY1	-5.9575211038019
BAG1	-5.95415979741446
DNAI3	-5.95084757815757
VGLL4	-5.94985614567113
TRIM35	-5.93696985939942
MDN1	-5.93228030585073
LRRC2	-5.93174021459143
MR1	-5.92957806972377
CDON	-5.92840965644739
EBF3	-5.9159536829233
MCOLN1	-5.90987994003714
VPS53	-5.90729977854786
FAM3C2P	-5.90460665707049
CDC25B	-5.8993791092173
TNXB	-5.89116845428275
DDX10	-5.87098868528963
PMP22	-5.86997058952354
SLC7A7	-5.86238951202168
KLF13	-5.86072152113102
PRSS23	-5.85736692409712
S1PR1	-5.85723893301441
SIX2	-5.85714228167199
HMGXB3	-5.85148626452537
RBM47	-5.85094470857263
LINC01278	-5.84034450574488
NFASC	-5.83767975767387
SVEP1	-5.83617249560219
SH3KBP1	-5.83050512659069
ADH5	-5.83016420613239
LINC00839	-5.82885725731482
TACC1	-5.82641783403175
SMPD1	-5.81869367128184
SUGCT-AS1	-5.81647590397943
COA7	-5.81479767049572
NRROS	-5.80801631383709
TSEN2	-5.80484041629325
PPM1H	-5.80049503150657
OSGIN1	-5.79953444509616
RRP9	-5.79522585274145
ANGPT2	-5.78717644579895
CYP19A1	-5.78318669866664
POR	-5.77572940504607
AIFM1	-5.7619435286536
SNHG12	-5.76144833467249
VPS18	-5.75469937628759
AOPEP	-5.75312787843482
STAT2	-5.73992574955882
ATP6V1E1	-5.73836566018809
WDR12	-5.73585674797096
RBM19	-5.72664770214153
CILK1	-5.72560103052412
GATA4	-5.72316701259241
MOSPD1	-5.72118869048054
STS	-5.71173918509116
AUTS2	-5.70751746853511
HS1BP3	-5.70267739766432
SHC3	-5.69965536929392
PAMR1	-5.69918272495109
RABEP1	-5.69603681976437
DSEL	-5.69452243234371
NCALD	-5.68854102569878
CDK4	-5.68603459211531
HPS1	-5.68298167644364
NEO1	-5.68117176410756
TARBP2	-5.68031318878408
ZDHHC14	-5.67874915056606
CHKA	-5.67229551100186
PLS3	-5.66956343510326
CAT	-5.66711114862751
PHEX	-5.66552666467471
AASS	-5.66132121257184
PLA2G15	-5.65968446469487
CBLB	-5.65751529792639
CLCA2	-5.65646134134789
CNP	-5.65211868750614
EHD3	-5.65038535367138
HRH1	-5.65031269570255
NPTXR	-5.64391654251431
FAT4	-5.64128471929301
AKR1C1	-5.63911712371428
HNRNPF	-5.63236720649205
WDR81	-5.62509741852926
GDPD5	-5.62376302125789
GSG1	-5.62074367076532
COPS8	-5.61436821919522
CACNA2D3	-5.61116880198147
LRRFIP2	-5.61105934623184
MXRA8	-5.60451270794475
CPNE8	-5.60304431783538
RRAGD	-5.59928625959622
GIGYF2	-5.59908141652797
DISP1	-5.59625648970959
PCDH9	-5.59545032041736
MYBPH	-5.58863252497344
TMCO4	-5.58675323802897
FAM86B1	-5.58605769408698
HECTD3	-5.58023338312399
IKBKB	-5.57959081840854
ETV1	-5.5782651872026
NUPR1	-5.57665079907775
ARHGEF9	-5.57465275684618
RIN2	-5.57423122348163
MFSD5	-5.57100650936182
GALNT12	-5.56251106562328
NDFIP1	-5.56008279865108
FBXO31	-5.55888208625923
ANKRD29	-5.55063935596871
ELOVL6	-5.54935181493854
KIDINS220	-5.54898021746913
PHYH	-5.54799466529871
MIEN1	-5.54360156400184
SLC37A3	-5.53890383096144
CEMIP	-5.53627503455971
SLC2A3	-5.53434935911871
SPART	-5.53390811983485
UBAP2L	-5.53306357091395
CPZ	-5.53180305282876
NUDT4	-5.52528284790788
CBX6	-5.51814735238853
DDX19A	-5.50915873729842
NACC2	-5.50890960516808
LETM1	-5.50791003827223
ARHGAP6	-5.50475102149358
PHYHD1	-5.50391630706481
GHR	-5.49353075396936
TANGO2	-5.49129987900435
NIPAL2	-5.4899015740807
VSTM4	-5.48862274234979
SLC23A2	-5.48861999720001
FAM110B	-5.47986550849691
ABCF1	-5.47778564850747
BCL2L1	-5.47498965022704
DIP2C	-5.47118799895337
DOCK11	-5.46838448629814
L3MBTL2	-5.46660851036451
PPP2R1A	-5.46534081968108
PTPA	-5.45909516512471
SMIM29	-5.45673791140071
EGFLAM	-5.45563672414198
GRWD1	-5.45415572628537
C4B	-5.44972418642964
CALHM2	-5.4425089605735
ACAN	-5.43995592725547
NA	-5.43973511078962
LNX2	-5.4379882341852
SYNM	-5.43592907357083
BMPR1B	-5.43073491828969
CRYM	-5.43066936948358
ADARB1	-5.42981369949587
CTDSPL	-5.42950576949617
KLHL13	-5.4294851139372
ABCC5	-5.426334258387
PELI2	-5.420817563769
TLE3	-5.41778487184557
TSPAN14	-5.41759349794471
MYO5A	-5.405441545225
TRIB1	-5.40291561596816
RRAGC	-5.40180556309012
FAIM2	-5.39697462154746
TRIM2	-5.39638773675026
POLE4	-5.39452588917894
TNFRSF1A	-5.39089149130017
POLR2L	-5.3783929593373
PIKFYVE	-5.37801937092538
SCARA5	-5.37682744322262
LAMTOR1	-5.37670970978249
APPL2	-5.37510835761643
NOP16	-5.37082108783799
GFM1	-5.36459945231807
AVPI1	-5.36282345840555
STIM1	-5.35757625374126
ARHGAP24	-5.35640910342948
MCOLN3	-5.35442817743839
ATP1A1	-5.35313804723447
PITPNM2	-5.35125190511396
CP	-5.3474134452347
ENPP4	-5.34622982745607
ZFPM2-AS1	-5.33774447566059
B4GALT5	-5.33561458489572
COL12A1	-5.33392146011653
HIBADH	-5.32641627237305
GTF3C2	-5.32360727246931
SNX29	-5.32285446008085
RAB7A	-5.32230894061492
TLN2	-5.32157716035917
PSG5	-5.32069576899325
MEIS2	-5.31730038052678
TRAK1	-5.31477616320398
PANK3	-5.3054079195123
C4orf46	-5.30500585963237
GJA1	-5.30265649764597
SLC4A7	-5.30025038942465
VPS16	-5.29822271942721
NA	-5.28933381873459
PRKAR2A	-5.28853081441088
LHFPL2	-5.28165484503637
ATR	-5.27772094441634
CAD	-5.27084656173829
PRKG2	-5.26689028800981
SLC27A4	-5.26671471270369
C2CD2	-5.26632760702078
NADK	-5.26511289604981
NEU3	-5.26425025214235
ITGA8	-5.26404386661313
CDK5R1	-5.2604548306627
CYP4V2	-5.25665141654299
SAYSD1	-5.25122956213545
F2R	-5.25015229553389
SAMHD1	-5.24445228840665
RNF112	-5.24279503532956
DAB2	-5.24102659703457
NOP56	-5.24017578018498
IDH3A	-5.23117887963658
MTSS1	-5.22938580408709
IFI16	-5.22636842279499
MAT2A	-5.22158137063843
CCDC149	-5.22135168573847
DIS3L	-5.21705291073216
AKAP12	-5.21653529450723
CLIC2	-5.21617151074475
MCCC1	-5.21570024882702
PTPN1	-5.21398991941831
LZTS1	-5.20860258341783
LINC01197	-5.20727701113221
PRR16	-5.2057494953896
LRRC39	-5.20314593262114
CEP104	-5.20175932030311
APOC1	-5.19900731303448
EPB41L4A	-5.19896044479963
NBL1	-5.19561564496994
BMPER	-5.19199348659643
PUM3	-5.18937661604614
CERK	-5.18883518953219
CERS4	-5.18296485520951
SCML1	-5.17971740115733
HSPH1	-5.17896853369721
RIPK1	-5.17624810376998
LAMA3	-5.17542626551894
INPP4B	-5.17182386496056
ZNF608	-5.16889694361257
LTBR	-5.16843749028067
GREM2	-5.1593977966975
ELAC2	-5.15191925965913
LINC02035	-5.15163050841249
TK2	-5.14990277007101
TP53INP2	-5.14577058594702
NANOS1	-5.14499625060965
TBC1D5	-5.14345490848942
OPA3	-5.14115768351644
DUSP22	-5.13547872032389
MIR503HG	-5.1327495774429
SUSD5	-5.13155460192464
TOP1MT	-5.12989747869097
CARS2	-5.12962691858353
PCNX2	-5.1234862848788
TNRC6C	-5.12317488077116
RAB11FIP3	-5.12253195602741
ARSD	-5.11221209072761
TPD52L2	-5.10166630910011
SGSH	-5.10146743786227
MMAB	-5.10128409391381
SPRYD3	-5.10048804604261
IFITM1	-5.09760810786203
MAPKAPK3	-5.09645072455282
MAP2K3	-5.09270725473481
AGFG2	-5.08618767857077
PKDCC	-5.08015884547069
NOL8	-5.079079611867
TNFRSF14	-5.07853860703107
CAMKK2	-5.07817304324299
PCDHGC3	-5.07416163732334
KAZN	-5.07364840885177
COL14A1	-5.07157282631117
UTP18	-5.06957271793248
FAM89A	-5.0681477203587
LGMN	-5.06381911068278
NA	-5.05976442285912
KHDRBS3	-5.05408319100102
ZFYVE26	-5.05060246805418
TBC1D8	-5.04842675038773
MTOR	-5.04787065851891
WIPI1	-5.04737363346797
FAM149A	-5.04036178130261
AIG1	-5.03970445515345
DDI2	-5.03898939408691
CUEDC1	-5.03754836670401
GPNMB	-5.03690901820672
XPR1	-5.03499110233136
TENM3	-5.03330241046688
PIP4P1	-5.03240979814797
TCTN3	-5.0319592257267
HK2	-5.03160420641532
STARD9	-5.02984013172853
ATP8B2	-5.02760095110097
AXDND1	-5.0273655611662
MYOM1	-5.02423129502493
PITPNA	-5.01803316155338
NOP14	-5.00797832850494
SPR	-5.00490698962542
EHBP1	-4.99336325995497
IER5L	-4.99297031940943
SMAD1	-4.98964698692467
KIRREL1	-4.98908639639036
LMNA	-4.98094232523094
SPRING1	-4.97961890244831
ATP6V0D1	-4.97884747981743
TRAPPC2L	-4.97770542988668
HEATR1	-4.97703907012249
BOD1	-4.97624866293193
CTSA	-4.96560608947328
ADCY1	-4.96488023501281
EPM2A	-4.96194154946108
UBE4B	-4.95930994055025
JAK3	-4.95674656687408
INSYN1	-4.95549511851022
STK3	-4.95528104930516
SETMAR	-4.95454706681117
DCXR	-4.95264488874608
IPO13	-4.95051222776413
PRKCE	-4.94979775527193
PHKG1	-4.94652490549155
CDH18	-4.94532122755504
NSDHL	-4.93909626659686
ZZEF1	-4.93823428583125
FZD5	-4.93618358118367
KIAA0930	-4.92671606876243
ADHFE1	-4.92175405777185
EZH1	-4.91794590913614
NFIA	-4.91253278866887
RETREG2	-4.90464428550113
USP36	-4.90111868907071
TMEM242	-4.8983866607039
SAP30L	-4.89519034816224
TSEN54	-4.89066134665453
LAMA4	-4.88787153288832
FBXO17	-4.88622631261449
GSTK1	-4.88550696945745
TEX10	-4.88504554734835
POMZP3	-4.88383601615311
ZNF275	-4.88351997947863
ABHD15	-4.88031275299431
HERC1	-4.87880703284211
CC2D2A	-4.87468457802162
SEC14L5	-4.87292439040674
LONRF1	-4.8696148958536
DOCK5	-4.86824628959661
MAPK10	-4.86099338061581
MCOLN2	-4.86079134510094
APBB1IP	-4.85959934959439
MIR99AHG	-4.85952413645856
CUL4A	-4.8542600899844
DHX37	-4.85207020267239
MROH6	-4.85156665419583
LCLAT1	-4.85073140466125
MAP1A	-4.85068954112937
AKAP1	-4.84905824799968
VSIG10	-4.84881645510031
ADCK1	-4.84827583315966
WASHC5	-4.84723240008338
FTL	-4.84477586433172
ARFGEF2	-4.84433651016105
SQLE	-4.84357916838971
SLC36A1	-4.84304041833039
MPV17	-4.83733876604626
DOCK4	-4.8368305577941
STEAP3	-4.82901423966451
HDAC5	-4.82634392734474
AFG3L2	-4.82214437514992
FRMD8	-4.82211020142102
CLCN3	-4.82076390056413
C14orf119	-4.81969769805048
HERC6	-4.8154877462084
NA	-4.81059948774693
VPS11	-4.80908906734926
LMOD1	-4.8061114546151
PLEKHO2	-4.80553034209566
TAF1	-4.79826656140651
GREB1	-4.79794704625591
NOP10	-4.79402866842359
SNX19	-4.79268579127528
TUB	-4.78747153491611
SMCR8	-4.78088362895674
B3GALNT1	-4.77908308455295
PARD3	-4.77842156956312
ANKRD10	-4.77500640234621
SETBP1	-4.77414247975871
GPAT4	-4.76964572503038
TBC1D2	-4.76898178993693
NMRAL2P	-4.76517277282455
TMEM130	-4.76307807158876
CTTN	-4.76201613829391
LGALS9	-4.75951525311855
ITGA9-AS1	-4.75581771579498
PCDHGA10	-4.75554019866785
WWP2	-4.75212501991527
SIGMAR1	-4.7495502475837
RRAGB	-4.74881289908274
ST6GALNAC6	-4.74601449389243
PYGB	-4.74464956468668
CHSY3	-4.74221037849925
TRNP1	-4.74206763866013
